iter	Passed	Remaining
0	65	19510
1	131	19534
2	209	20772
3	271	20096
4	346	20467
5	408	20007
6	460	19294
7	466	17036
8	520	16830
9	576	16715
10	633	16641
11	681	16361
12	732	16177
13	786	16074
14	837	15916
15	892	15839
16	943	15703
17	1000	15670
18	1059	15664
19	1109	15539
20	1171	15565
21	1235	15610
22	1297	15622
23	1356	15597
24	1415	15569
25	1472	15518
26	1534	15512
27	1590	15450
28	1651	15437
29	1708	15377
30	1766	15326
31	1825	15285
32	1904	15412
33	1978	15478
34	2050	15526
35	2070	15185
36	2140	15217
37	2205	15205
38	2265	15159
39	2327	15125
40	2384	15061
41	2437	14974
42	2493	14902
43	2546	14815
44	2604	14757
45	2666	14721
46	2719	14641
47	2786	14627
48	2846	14582
49	2908	14544
50	2964	14475
51	3023	14420
52	3080	14354
53	3131	14265
54	3182	14177
55	3234	14092
56	3288	14021
57	3348	13971
58	3400	13889
59	3457	13828
60	3518	13786
61	3572	13712
62	3625	13639
63	3680	13572
64	3735	13503
65	3791	13442
66	3847	13378
67	3901	13311
68	3959	13254
69	4014	13190
70	4019	12965
71	4068	12883
72	4124	12826
73	4173	12745
74	4226	12678
75	4276	12603
76	4335	12556
77	4386	12486
78	4439	12418
79	4494	12359
80	4555	12316
81	4605	12243
82	4665	12196
83	4723	12144
84	4773	12073
85	4840	12044
86	4889	11971
87	4947	11917
88	5006	11869
89	5058	11803
90	5110	11736
91	5168	11686
92	5223	11625
93	5277	11566
94	5329	11501
95	5381	11435
96	5430	11364
97	5494	11324
98	5543	11254
99	5593	11187
100	5646	11125
101	5706	11077
102	5785	11066
103	5852	11028
104	5905	10966
105	5956	10900
106	6007	10836
107	6065	10783
108	6128	10738
109	6185	10684
110	6241	10627
111	6298	10572
112	6348	10506
113	6410	10459
114	6472	10412
115	6529	10357
116	6594	10315
117	6661	10274
118	6724	10228
119	6786	10179
120	6840	10118
121	6902	10071
122	6962	10018
123	7024	9970
124	7079	9910
125	7136	9854
126	7202	9811
127	7260	9756
128	7317	9700
129	7382	9654
130	7447	9607
131	7510	9559
132	7568	9502
133	7629	9452
134	7699	9410
135	7756	9353
136	7814	9297
137	7873	9242
138	7944	9201
139	8003	9146
140	8063	9092
141	8122	9037
142	8185	8986
143	8239	8925
144	8293	8865
145	8349	8807
146	8400	8743
147	8451	8679
148	8505	8619
149	8555	8555
150	8605	8491
151	8658	8430
152	8710	8369
153	8764	8309
154	8830	8261
155	8883	8200
156	8940	8143
157	8990	8079
158	9043	8019
159	9095	7958
160	9146	7897
161	9200	7837
162	9262	7784
163	9312	7722
164	9373	7669
165	9428	7611
166	9478	7548
167	9533	7490
168	9585	7430
169	9638	7370
170	9695	7314
171	9751	7256
172	9810	7201
173	9859	7139
174	9918	7084
175	9973	7026
176	10025	6967
177	10075	6905
178	10125	6844
179	10175	6783
180	10225	6723
181	10274	6661
182	10327	6602
183	10382	6545
184	10437	6488
185	10488	6428
186	10539	6368
187	10594	6311
188	10648	6253
189	10699	6194
190	10765	6143
191	10819	6086
192	10871	6027
193	10925	5969
194	10979	5912
195	11032	5853
196	11092	5799
197	11152	5744
198	11201	5685
199	11251	5625
200	11303	5567
201	11355	5508
202	11405	5449
203	11460	5393
204	11512	5335
205	11561	5275
206	11613	5217
207	11666	5160
208	11718	5102
209	11770	5044
210	11830	4990
211	11879	4931
212	11945	4879
213	12008	4825
214	12068	4771
215	12135	4719
216	12202	4667
217	12268	4614
218	12336	4562
219	12394	4507
220	12452	4451
221	12507	4394
222	12561	4337
223	12623	4283
224	12675	4225
225	12731	4168
226	12786	4112
227	12839	4054
228	12890	3996
229	12944	3939
230	12995	3881
231	13048	3824
232	13099	3766
233	13152	3709
234	13207	3653
235	13263	3596
236	13322	3541
237	13372	3483
238	13428	3427
239	13481	3370
240	13533	3313
241	13583	3255
242	13641	3199
243	13692	3142
244	13751	3087
245	13812	3032
246	13865	2975
247	13922	2919
248	13973	2862
249	14026	2805
250	14082	2749
251	14133	2692
252	14185	2635
253	14240	2578
254	14291	2522
255	14344	2465
256	14400	2409
257	14462	2354
258	14529	2300
259	14610	2247
260	14680	2193
261	14754	2140
262	14820	2085
263	14877	2028
264	14944	1973
265	15007	1918
266	15064	1861
267	15120	1805
268	15179	1749
269	15233	1692
270	15289	1636
271	15356	1580
272	15414	1524
273	15468	1467
274	15525	1411
275	15579	1354
276	15643	1298
277	15694	1241
278	15746	1185
279	15798	1128
280	15851	1071
281	15906	1015
282	15963	958
283	16017	902
284	16071	845
285	16130	789
286	16184	733
287	16242	676
288	16316	621
289	16379	564
290	16440	508
291	16498	452
292	16559	395
293	16611	339
294	16676	282
295	16730	226
296	16787	169
297	16842	113
298	16924	56
299	16988	0
